Company Code,"	Company Name","	Currency",Cost Center,"	Invoice Series 1","	Invoice Series 2","	Invoice Series 3","	Invoice Series 4","	Invoice Series 5",Address String 1,Address String 2
271,,ZAR,100401,919,910,,,,EI:,
312,,EUR,100396,914,915,916,,,BO1:,
336,,USD,100603,904,,,,,BO1:,
341,,EUR,990097,919,920,,,,BO1:,
390,,EUR,324151,1800,"	",,,,EI:,BO1:
445,,GBP,990651,922,,,,,BO1:,
481,,PLN,600606,917,,,,,BO:,
491,,EUR,100390,909,,,,,BO1:,
3311,,EUR,NA,1800,940,,,,,
3312,,EUR,NA,"	   ",,,,,,
